ts,event_type,user_id,date_from,date_to,origin,destination,num_adults,num_children
2017-04-29 20:36:47,search,6df4fb,2017-10-12,2017-10-23,DUS,PMI,2,0
2017-04-27 11:37:26,search,56a122,2017-06-17,2017-06-21,FRA,OPO,2,0
2017-04-27 18:33:02,search,3a263a,2017-09-03,2017-09-10,CGN,BUD,1,0
2017-04-27 16:48:01,search,1a9909,2017-05-30,2017-05-30,STR,TXL,2,0
2017-04-28 23:44:12,search,24eeb6,2017-06-10,2017-06-13,PAR,MRS,2,1
2017-04-28 09:37:08,search,ba0b62,2017-10-12,2017-10-12,PRG,CPH,3,1
2017-04-29 00:21:37,book,02b7c2,2017-05-18,2017-05-20,PAR,TLS,3,1
2017-04-29 01:13:58,search,d31f49,2017-07-05,2017-07-11,DUS,ESB,1,0
2017-04-28 19:03:26,search,fc69c9,2017-11-14,2017-11-30,FRA,NYC,2,2
2017-04-28 21:33:25,search,d19134,2017-04-28,2017-04-28,LON,STR,2,0
2017-04-28 16:33:39,search,194d91,2017-05-27,2017-06-02,PAR,BCN,1,0
2017-04-28 12:04:36,search,1f2924,2017-06-14,2017-06-15,HAM,MUC,2,0
2017-04-28 19:02:30,search,550901,2017-06-20,2017-06-23,FRA,BER,1,0
2017-04-29 21:42:30,book,aa767c,2017-05-03,2017-05-05,DUS,LON,2,0
2017-04-29 13:05:10,book,e1107f,2017-05-03,2017-05-03,HAM,ZRH,1,0
2017-04-29 11:49:50,search,33e413,2017-05-16,2017-05-23,HAM,BCN,2,0
2017-04-29 23:00:17,search,70da81,2017-11-23,2017-11-30,BER,ALC,1,0
2017-04-30 00:29:56,search,28109c,2017-06-30,2017-07-07,BER,PMI,2,0
2017-04-29 21:55:03,search,be8115,2017-06-25,2017-06-25,CHI,BER,2,0
2017-04-29 22:05:17,search,a7abd7,2017-05-19,2017-05-19,SAW,CGN,1,0
2017-05-01 17:58:18,search,75b0cf,2017-07-19,2017-07-22,PAR,BCN,2,0
2017-05-02 00:54:08,book,f7194c,2017-10-03,2017-10-07,HAM,BHX,2,0
2017-05-02 02:20:53,book,8d53a3,2017-07-04,2017-07-08,MUC,CPH,1,0
2017-05-01 16:42:22,search,165943,2017-05-24,2017-05-31,FRA,DXB,3,0
2017-05-01 14:47:11,search,3fbcd9,2017-08-01,2017-08-05,HAM,PMI,2,0
2017-05-02 00:55:48,search,1eaf07,2017-05-17,2017-05-21,SGN,HAN,2,0
2017-05-01 14:55:32,search,f112eb,2017-12-18,2017-12-23,PAR,ATH,2,0
2017-05-01 22:59:16,search,4f89a7,2017-06-08,2017-06-14,DUS,IST,2,0
2017-04-27 20:31:25,search,d2cd55,2017-08-09,2017-08-17,CGN,ROM,2,0
2017-04-27 16:39:42,search,6458de,2017-04-29,2017-04-29,DUS,DUB,1,0
2017-04-27 18:35:11,search,a50816,2017-05-24,2017-05-26,PAR,LON,2,0
2017-04-28 03:38:33,search,353dac,2017-05-18,2017-05-18,DUS,NAS,1,0
2017-04-24 19:40:04,search,615b80,2017-06-11,2017-06-15,HAM,LIS,2,0
2017-04-24 17:31:17,search,1d66c7,2017-07-27,2017-07-27,HEL,GVA,2,1
2017-04-24 15:02:06,search,dc125a,2017-06-13,2017-06-18,DUS,DUB,2,0
2017-04-24 13:41:15,search,d9256a,2017-04-29,2017-04-29,STR,IST,1,0
2017-04-24 20:45:07,search,4abcc0,2017-07-07,2017-07-14,PAR,LIS,2,1
2017-04-25 01:02:35,search,966adf,2017-05-30,2017-05-30,IST,STR,1,0
2017-04-24 14:46:41,search,875c09,2017-08-05,2017-08-05,STR,SAW,1,0
2017-04-25 00:07:12,search,778c6d,2017-06-20,2017-06-20,JFK,MIA,2,0
2017-04-24 16:52:58,search,bc8d58,2017-05-27,2017-05-31,BER,ROM,2,0
2017-04-24 13:56:33,search,92d3f4,2017-04-25,2017-04-28,HAM,MAN,1,0
2017-04-24 23:38:15,search,aff534,2017-06-27,2017-06-30,CGN,LON,2,0
2017-04-24 22:37:17,search,d43cd4,2017-05-08,2017-05-08,AMS,MUC,1,0
2017-04-24 13:38:31,search,92d3f4,2017-04-25,2017-04-28,HAM,MAN,1,0
2017-04-30 00:37:28,search,d65ba8,2017-06-09,2017-06-15,CGN,ARN,1,0
2017-04-27 17:00:27,book,332337,2017-07-06,2017-07-14,DUS,MOW,3,0
2017-04-27 23:30:19,book,4f436d,2017-11-25,2017-11-28,STR,VIE,2,0
2017-04-27 20:23:25,search,079cbb,2017-05-15,2017-05-19,DUS,LON,2,0
2017-04-27 14:09:48,search,57a0cc,2017-06-17,2017-06-19,DUS,VIE,4,0
2017-04-27 12:46:44,search,232b3e,2017-04-28,2017-05-01,NYC,DUS,1,0
2017-04-28 00:14:39,search,74ca04,2017-06-07,2017-06-10,PAR,ROM,2,0
2017-04-27 20:00:55,search,29f497,2017-05-10,2017-05-10,TXL,CPH,1,0
2017-04-27 22:21:33,search,74cc31,2017-06-14,2017-06-19,BER,FCO,5,0
2017-04-27 22:40:42,search,f953f0,2017-10-08,2017-10-11,BER,CGN,2,0
2017-04-27 21:14:26,search,502837,2017-10-24,2017-10-31,SXF,AGP,2,0
2017-04-27 14:48:07,search,dc1125,2017-05-10,2017-05-19,BER,AYT,2,0
2017-04-27 21:22:02,book,2f543a,2017-10-23,2017-11-08,CDG,AGP,2,0
2017-04-27 23:17:31,search,4f436d,2017-11-25,2017-11-28,STR,VIE,2,0
2017-04-27 21:16:27,search,ef94c8,2017-05-13,2017-05-15,FRA,TXL,2,1
2017-04-27 20:00:22,search,56b1ac,2017-06-19,2017-06-19,MUC,BCN,4,0
2017-04-27 11:09:41,search,3b09c7,2017-06-01,2017-06-15,PAR,DUB,2,1
2017-04-27 05:08:34,search,c6cb69,2017-07-01,2017-07-06,FRA,OSL,1,0
2017-04-27 19:51:26,search,e62d93,2017-09-11,2017-09-23,MUC,TLV,2,0
2017-04-27 05:33:11,search,14ca70,2017-07-11,2017-07-14,BER,DUB,1,0
2017-04-27 14:25:39,book,63bebf,2017-09-15,2017-09-22,DUS,DUB,2,0
2017-04-27 22:58:14,book,07c61d,2017-06-07,2017-06-13,PAR,RIO,2,0
2017-04-27 16:35:39,search,ab2db9,2017-05-15,2017-05-19,CGN,BUD,2,0
2017-04-28 00:38:31,search,8b995b,2017-05-17,2017-05-19,FRA,LON,2,0
2017-04-27 17:05:49,search,1a9909,2017-06-28,2017-06-28,STR,TXL,2,0
2017-04-27 14:49:37,search,24eeb6,2017-06-10,2017-07-11,PAR,MRS,2,1
2017-04-27 16:07:47,search,dae00a,2017-05-17,2017-05-22,CGN,CPH,1,0
2017-04-27 22:39:53,search,6600e0,2017-10-05,2017-10-20,FRA,IST,2,0
2017-04-27 05:27:06,search,14ca70,2017-07-14,2017-07-14,DUB,BER,1,0
2017-04-27 12:53:49,book,232b3e,2017-04-28,2017-05-01,NYC,DUS,1,0
2017-04-27 21:32:26,search,46c398,2017-11-15,2017-11-19,DUS,ARN,4,0
2017-04-27 16:22:30,search,b71b58,2017-06-23,2017-06-30,PAR,TLV,1,0
2017-04-24 00:14:46,search,1780a5,2017-09-23,2017-10-28,TLS,ALG,1,0
2017-04-23 13:16:17,book,65249b,2017-08-10,2017-08-13,HAM,VIE,1,0
2017-04-23 11:18:38,book,cb03ea,2018-04-17,2018-04-17,HAM,MOW,2,0
2017-04-23 21:55:43,search,ddf6ee,2017-11-30,2017-12-07,DUS,PMI,1,0
2017-04-24 00:00:30,search,9bba53,2017-05-15,2017-05-20,MUC,MAD,1,0
2017-04-28 20:57:54,search,2f1f15,2017-06-16,2017-06-27,PAR,AGP,2,0
2017-04-28 17:45:13,book,2b198e,2017-07-25,2017-07-28,BER,AMS,4,0
2017-04-29 02:04:24,book,6963bc,2017-05-10,2017-05-12,STR,AYT,1,0
2017-04-28 08:14:10,book,cb5e36,2017-05-04,2017-06-02,BER,HAN,1,0
2017-04-28 14:30:14,book,4d9d8b,2017-08-01,2017-08-06,HAM,MOW,2,0
2017-04-28 22:45:26,book,6990e0,2017-08-09,2017-09-29,HAN,PAR,1,0
2017-04-28 18:44:37,search,dffbb1,2017-05-23,2017-05-23,DUS,SAW,3,0
2017-04-28 13:28:22,search,c96857,2017-05-08,2017-05-12,HAM,MXP,1,0
2017-04-28 13:52:36,search,0c6a02,2017-05-10,2017-05-10,MIL,PAR,1,0
2017-04-29 01:42:22,search,d84b7f,2017-05-02,2017-05-02,SIN,DPS,2,0
2017-04-28 21:19:51,search,7f9795,2017-06-28,2017-07-02,HAM,MAD,2,0
2017-04-28 23:54:03,search,95a3cb,2017-06-01,2017-06-09,FRA,BKK,1,0
2017-04-28 21:27:03,search,f4a4ec,2017-06-01,2017-06-22,BER,IST,2,0
2017-04-29 00:01:23,book,88d1e0,2017-07-27,2017-07-27,YEA,YVR,1,0
2017-04-28 18:47:01,search,ed5cda,2017-06-25,2017-06-25,ADB,AYT,2,0
2017-04-29 03:43:29,search,0035d4,2018-02-08,2018-02-20,DUS,AGP,3,1
2017-04-28 23:04:25,search,0ca6b4,2017-10-18,2017-10-20,MUC,BER,2,0
2017-04-29 01:41:25,search,d84b7f,2017-05-02,2017-05-02,SIN,DPS,2,0
2017-04-28 23:25:32,search,e9b5c6,2017-06-21,2017-07-08,LYS,OPO,1,0
2017-04-25 16:34:36,search,24056b,2017-07-30,2017-08-13,SXF,DUB,1,0
2017-04-25 23:33:31,book,7236dc,2017-05-07,2017-05-08,FRA,LHR,1,0
2017-04-26 00:26:51,search,a6c512,2017-05-25,2017-05-26,STR,MXP,1,0
2017-04-25 16:30:23,search,974cea,2017-07-17,2017-07-17,TLV,PAR,2,0
2017-04-28 21:27:20,book,d278cb,2017-05-11,2017-05-25,BER,NYC,1,0
2017-04-28 21:36:43,search,9706da,2017-05-10,2017-05-17,CGN,AYT,2,0
2017-04-28 19:08:08,search,fcceb0,2017-05-15,2017-05-21,BER,OSL,1,0
2017-04-28 23:03:03,search,2dec42,2017-06-10,2017-06-15,HAM,LIS,2,0
2017-04-28 18:25:11,search,1a9f09,2017-06-26,2017-06-29,CGN,PMI,1,0
2017-04-28 19:38:34,search,36a29b,2017-05-15,2017-05-20,MUC,ALC,2,0
2017-04-29 00:11:26,search,b097c6,2017-06-21,2017-06-28,DUS,PMI,2,0
2017-04-28 19:04:11,search,550901,2017-06-20,2017-06-23,FRA,BER,1,0
2017-04-28 23:52:38,search,eabbf3,2017-09-21,2017-10-02,ATH,PAR,4,1
2017-04-27 15:31:36,book,d39bb1,2017-06-15,2017-06-17,FRA,VIE,1,0
2017-04-28 03:22:39,search,be3180,2017-05-08,2017-05-11,SXF,OSL,1,0
2017-04-28 00:31:29,search,74ca04,2017-06-07,2017-06-10,PAR,ROM,2,0
2017-04-27 14:03:47,search,63bebf,2017-09-15,2017-09-22,DUS,DUB,2,0
2017-04-30 01:23:17,book,5ad343,2017-08-12,2017-08-17,MUC,ROM,2,1
2017-04-30 03:23:53,book,b5c830,2017-05-06,2017-05-16,DUS,AYT,1,0
2017-04-30 00:06:08,search,b483a8,2017-05-09,2017-05-14,SHA,OSA,2,1
2017-04-29 17:30:25,search,613d13,2017-04-29,2017-04-29,PAR,BCN,1,0
2017-04-29 20:22:30,search,aa767c,2017-05-02,2017-05-06,DUS,LON,1,0
2017-04-29 16:05:27,search,c723a3,2017-05-02,2017-05-02,PAR,NCE,1,0
2017-04-29 22:11:45,search,2348db,2017-05-01,2017-05-01,ZRH,HAM,1,0
2017-04-27 22:39:52,search,6600e0,2017-10-05,2017-10-20,FRA,IST,2,0
2017-05-01 14:40:30,search,0dd2e4,2017-05-23,2017-06-24,PAR,IST,1,0
2017-05-01 16:09:40,search,76d656,2017-12-13,2017-12-16,BER,ATH,2,0
2017-05-01 21:50:51,book,9707f0,2017-06-05,2017-06-05,ROM,HAM,2,0
2017-05-01 19:04:07,book,ecad89,2017-09-12,2017-09-19,LYS,LIS,2,2
2017-05-02 00:43:37,search,25ded7,2017-06-02,2017-06-05,MRS,PRG,1,0
2017-05-01 23:34:36,search,97ce05,2017-07-20,2017-07-22,DUS,PRG,2,0
2017-04-24 03:24:49,search,89d07a,2017-05-17,2017-05-20,HAM,BCN,1,0
2017-04-24 00:07:05,book,4c7e53,2017-10-20,2017-10-25,MUC,OSL,2,0
2017-04-23 14:07:56,search,a21543,2017-05-08,2017-05-10,DUS,ROM,1,0
2017-04-23 13:04:38,search,b54470,2017-05-04,2017-05-25,HAM,MOW,1,0
2017-04-23 23:37:10,search,88e0b8,2017-08-16,2017-09-04,DUS,PMI,2,0
2017-04-24 02:40:52,search,d0e887,2017-05-24,2017-05-24,DUS,BCN,1,0
2017-04-23 22:52:10,search,29acf7,2017-06-05,2017-06-10,PAR,LIS,3,2
2017-04-29 00:00:57,search,be4b3d,2017-09-22,2017-09-22,NCE,HAM,2,0
2017-04-28 18:00:04,search,baaaac,2017-07-27,2017-07-30,DUS,LHR,3,0
2017-04-28 22:18:16,book,909da4,2017-06-26,2017-06-28,MUC,BER,1,0
2017-04-29 01:41:38,book,76ebd4,2017-09-27,2017-10-08,DUS,SVO,1,0
2017-04-28 22:54:44,book,423983,2017-06-10,2017-06-17,MUC,ICN,1,0
2017-04-29 00:23:38,search,859f94,2017-05-24,2017-08-09,DUS,AYT,2,0
2017-04-29 01:59:36,book,91b4fc,2017-05-25,2017-05-26,ORY,TLS,2,2
2017-04-28 21:46:36,search,76ebd4,2017-09-27,2017-10-09,DUS,MOW,1,0
2017-04-28 13:20:23,search,d4a683,2017-09-13,2017-09-18,MUC,LON,2,2
2017-04-28 18:07:17,search,d648bf,2017-05-11,2017-05-22,ALC,NCE,1,0
2017-04-28 21:59:05,book,bbb63d,2017-09-21,2017-10-05,PAR,VCE,6,0
2017-04-29 01:08:57,book,7d215b,2017-05-31,2017-06-02,MUC,HAM,2,0
2017-04-28 18:35:37,search,e23ec1,2017-06-20,2017-06-23,STR,BER,1,0
2017-04-28 15:30:14,search,72c5b7,2017-05-17,2017-05-22,CGN,LHR,2,2
2017-04-28 18:15:38,search,2f1f15,2017-06-15,2017-06-27,PAR,AGP,2,0
2017-04-29 00:01:10,search,02b7c2,2017-05-18,2017-05-20,PAR,TLS,2,2
2017-04-28 22:50:31,search,1037dc,2017-06-05,2017-06-05,MIL,LYS,1,0
2017-04-24 20:24:53,search,4abcc0,2017-07-07,2017-07-14,PAR,LIS,2,1
2017-04-24 12:20:09,search,ab3ffa,2017-11-17,2017-11-20,MUC,DUB,6,0
2017-04-24 22:55:32,search,db9beb,2017-05-14,2017-07-10,DUS,HYD,1,0
2017-04-25 01:06:30,search,240855,2017-06-27,2017-07-04,BER,NYC,2,0
2017-04-25 02:35:59,search,67a89c,2017-07-03,2017-07-10,PAR,OPO,2,2
2017-04-25 02:36:37,search,02a312,2017-05-04,2017-05-12,NYC,CUN,1,0
2017-04-25 00:54:39,search,688bf9,2017-08-09,2017-09-20,FRA,AYT,2,1
2017-04-24 23:13:05,search,37e32b,2017-07-14,2017-07-17,FRA,LON,2,0
2017-04-24 19:31:03,search,39b927,2017-06-25,2017-07-01,FRA,DXB,2,0
2017-04-29 01:22:30,book,306ec0,2017-09-25,2017-10-09,LYS,OPO,2,1
2017-04-28 19:34:20,search,c113d4,2017-05-16,2017-05-19,MUC,OSL,3,0
2017-04-28 20:52:23,search,d278cb,2017-05-10,2017-05-25,BER,NYC,1,0
2017-04-28 22:54:41,search,3f6c0a,2017-05-08,2017-05-25,STR,BER,1,0
2017-04-28 15:03:25,search,9bc6a7,2017-11-03,2017-11-24,FRA,BKK,1,0
2017-04-28 16:46:47,search,194d91,2017-05-27,2017-06-02,PAR,BCN,1,0
2017-04-28 13:20:48,search,0c6a02,2017-04-30,2017-05-10,PAR,MIL,1,0
2017-04-28 21:34:48,search,76ebd4,2017-09-27,2017-10-08,DUS,MOW,1,0
2017-04-28 19:04:12,search,550901,2017-06-20,2017-06-23,FRA,BER,1,0
2017-04-28 12:12:29,search,eabf04,2017-05-02,2017-10-21,PAR,BLR,2,0
2017-04-30 02:41:50,search,d6a1e5,2017-04-30,2017-04-30,DUS,PAR,2,0
2017-04-29 18:48:18,search,6f8d45,2017-10-30,2017-11-09,HAM,NBO,2,2
2017-04-30 03:16:43,search,58245d,2017-10-17,2017-11-02,ORY,IST,2,1
2017-04-29 21:22:06,search,a7abd7,2017-05-23,2017-05-23,SAW,CGN,1,0
2017-04-30 00:45:49,book,d65ba8,2017-06-09,2017-06-14,CGN,ARN,1,0
2017-04-29 23:22:34,book,70da81,2017-11-22,2017-11-30,FRA,ALC,2,0
2017-04-29 13:15:41,book,4455b3,2017-06-15,2017-06-22,PAR,OPO,4,0
2017-04-29 18:58:46,book,b6ffd3,2017-05-22,2017-05-22,BER,PAR,1,0
2017-04-29 17:01:37,search,b6ffd3,2017-05-22,2017-05-22,BER,PAR,1,0
2017-04-29 19:45:27,search,b5852a,2017-05-03,2017-05-03,IST,DUS,1,0
2017-04-29 13:23:19,search,508acb,2017-05-20,2017-05-24,MUC,LON,2,1
2017-04-29 20:34:45,search,ee3529,2017-05-21,2017-05-24,DUS,BER,3,0
2017-04-30 00:28:16,search,2e81a9,2017-05-18,2017-05-18,TLS,BHX,1,0
2017-04-29 15:30:37,search,383280,2017-05-02,2017-05-02,MUC,DUS,2,0
2017-04-30 00:05:39,search,db65ee,2017-05-30,2017-06-01,DEL,BOM,2,0
2017-04-23 23:55:10,search,26aac8,2017-06-05,2017-06-20,MOW,DUS,1,0
2017-04-24 00:36:18,search,dc1098,2017-10-29,2017-11-06,CDG,ATH,2,0
2017-04-23 12:11:36,book,3fa9ea,2017-05-09,2017-05-10,CGN,MAN,2,0
2017-04-23 15:04:28,search,a21543,2017-05-29,2017-05-31,DUS,PRG,1,0
2017-04-23 12:06:30,search,3dcf0a,2017-09-19,2017-09-19,SAW,AYT,1,0
2017-04-23 16:08:28,search,065d43,2017-05-18,2017-06-10,DUS,THR,1,0
2017-04-30 01:09:51,search,55c39f,2017-06-08,2017-06-22,PAR,SHA,1,0
2017-04-29 19:10:44,search,9a845c,2017-05-29,2017-06-06,CDG,JFK,1,0
2017-04-29 21:51:13,search,52dc4c,2017-05-14,2017-06-13,FRA,SAW,2,0
2017-04-29 15:01:47,search,0166cf,2017-07-06,2017-07-15,MUC,PMI,1,0
2017-04-29 16:19:04,search,82c0c6,2018-03-19,2018-04-05,AMS,BKK,2,0
2017-04-29 21:11:27,search,917d0c,2017-06-24,2017-06-28,HAM,DUB,1,0
2017-04-29 07:50:46,search,a00610,2017-06-13,2017-06-17,DUS,HGH,1,0
2017-04-27 11:43:32,book,56a122,2017-06-17,2017-06-21,FRA,OPO,2,0
2017-04-27 18:38:20,book,a50816,2017-05-24,2017-05-26,PAR,LON,2,0
2017-04-27 17:30:31,book,1a9909,2017-06-28,2017-06-28,STR,TXL,2,0
2017-04-27 15:30:59,search,4d9d8b,2017-08-01,2017-08-05,HAM,MOW,2,0
2017-04-28 01:14:26,search,e31200,2017-09-13,2017-10-12,FRA,BKK,3,1
2017-04-27 23:31:26,search,d4a683,2017-09-15,2017-09-18,MUC,LON,2,2
2017-04-27 21:06:37,search,690a8c,2017-07-25,2017-07-25,YVR,LAX,2,2
2017-04-27 11:53:26,search,cbfb49,2017-06-11,2017-06-14,PAR,MAD,1,2
2017-04-27 19:34:11,search,b5c83e,2017-04-30,2017-04-30,LYS,LIS,1,0
2017-04-27 18:31:01,search,0dd723,2017-04-30,2017-05-04,ZRH,IST,1,0
2017-04-27 18:33:12,search,0e53a2,2017-11-21,2017-11-24,MUC,PMI,2,0
2017-04-24 02:11:06,book,1115b9,2017-09-17,2017-10-11,PAR,ALG,2,1
2017-04-23 13:56:24,search,a21543,2017-05-08,2017-05-10,DUS,ROM,1,0
2017-04-24 00:08:34,search,2f0b9b,2017-05-04,2017-05-20,PAR,ORY,1,0
2017-04-23 21:16:03,search,37fad7,2017-10-31,2017-10-31,PAR,AKL,1,0
2017-04-23 16:49:06,search,2561f2,2017-05-17,2017-05-31,DUS,NCE,2,0
2017-04-29 15:54:40,search,76d656,2017-12-14,2017-12-17,BER,ATH,2,0
2017-04-29 19:05:56,book,eec403,2017-05-03,2017-05-06,HAM,LGW,1,0
2017-04-30 00:42:57,book,7d87d7,2017-05-26,2017-06-14,PAR,ZRH,1,0
2017-04-30 01:04:22,search,4058dd,2017-05-29,2017-06-12,PAR,ORL,3,0
